cod_dep;nom_dep;cod_mun;nom_mun;poblacion
25;Cundinamarca;25862;Vergara;7452
76;Valle del Cauca;76863;Versalles;6987
68;Santander;68867;Vetas;2192
25;Cundinamarca;25867;Vianí;4852
17;Caldas;17867;Victoria;10440
05;Antioquia;05873;Vigía del Fuerte;9569
76;Valle del Cauca;76869;Vijes;12953
54;Norte de Santander;54871;Villa Caro;5376
15;Boyacá;15407;Villa de Leyva;17096
25;Cundinamarca;25843;Villa de San Diego de Ubaté;48774
54;Norte de Santander;54874;Villa del Rosario;112798
19;Cauca;19845;Villa Rica;21502
86;Putumayo;86885;Villagarzón;24425
25;Cundinamarca;25871;Villagómez;1899
73;Tolima;73870;Villahermosa;9212
17;Caldas;17873;Villamaría;68020
13;Bolívar;13873;Villanueva;25604
85;Casanare;85440;Villanueva;36517
44;La Guajira;44874;Villanueva;29902
68;Santander;68872;Villanueva;8070
25;Cundinamarca;25873;Villapinzón;19165
73;Tolima;73873;Villarrica;4974
50;Meta;50001;Villavicencio;549922
41;Huila;41872;Villavieja;7299
25;Cundinamarca;25875;Villeta;30285
25;Cundinamarca;25878;Viotá;14429
15;Boyacá;15879;Viracachá;2829
50;Meta;50711;Vistahermosa;16929
17;Caldas;17877;Viterbo;12963
25;Cundinamarca;25885;Yacopí;13063
52;Nariño;52885;Yacuanquer;10955
41;Huila;41885;Yaguará;7888
05;Antioquia;05885;Yalí;7800
05;Antioquia;05887;Yarumal;43340
97;Vaupés;97889;Yavaraté;1153
05;Antioquia;05890;Yolombó;23870
05;Antioquia;05893;Yondó;20426
85;Casanare;85001;Yopal;179355
76;Valle del Cauca;76890;Yotoco;16284
76;Valle del Cauca;76892;Yumbo;110683
13;Bolívar;13894;Zambrano;12502
68;Santander;68895;Zapatoca;9672
47;Magdalena;47960;Zapayán;10778
05;Antioquia;05895;Zaragoza;26106
76;Valle del Cauca;76895;Zarzal;42635
15;Boyacá;15897;Zetaquira;4658
25;Cundinamarca;25898;Zipacón;5221
25;Cundinamarca;25899;Zipaquirá;152195
47;Magdalena;47980;Zona Bananera;75081
